tiempo,carga,extension_de_traccion,esfuerzo_de_traccion,deformacion,deformacion_media,desplazamiento_deformacion_uno,desplazamiento_deformacion_dos
41.7,675.39304,3.47516,16.88483,0,0,0.56258,0
41.8,676.11006,3.48328,16.90275,0,0,0.56352,0
41.9,677465,3.49109,16.93662,0,0,0.56441,0
42,678.64675,3.50016,16.96617,0,0,0.5658,0
42.1,680.01263,3.50812,17.00032,0,0,0.56686,0
42.2,681.03843,3.51719,17.02596,0,0,0.56836,0
42.3,682.07677,3.52484,17.05192,0,0,0.56942,0
42.4,683.42467,3.53391,17.08562,0,0,0.57077,0
42.5,684.25531,3.54156,17.10638,0,0,0.57153,0
42.6,685.49034,3.54984,17.13726,0,0,0.57299,0
42.7,686.57412,3.55828,17.16435,0,0,0.57381,0
42.8,687.70726,3.56641,17.19268,0,0,0.57504,0
42.9,688.96506,3.57562,17.22413,0,0,0.57628,0
43,689.96185,3.58281,17.24905,0,0,0.57742,0
43.1,691.22664,3.59219,17.28067,0,0,0.57874,0
43.2,692.40998,3.59984,17.31025,0,0,0.57985,0
43.3,693.53604,3.60828,17.3384,0,0,0.58106,0
43.4,694.54694,3.61656,17.36367,0,0,0.58184,0
43.5,695.70206,3.62484,17.39255,0,0,0.58319,0
43.6,696.68083,3.63375,17.41702,0,0,0.58425,0
43.7,697.82184,3.64094,17.44555,0,0,0.58529,0
43.8,698.92048,3.65031,17.47301,0,0,0.58647,0
43.9,700.0505,3.65812,17.50126,0,0,0.5877,0
44,701.32394,3.66703,17.5331,0,0,0.5889,0
44.1,702.20553,3.67484,17.55514,0,0,0.58976,0
44.2,703.52992,3.68375,17.58825,0,0,591,0
44.3,704.45384,3.69187,17.61135,0,0,0.59234,0
44.4,705.40207,3.69953,17.63505,0,0,0.59335,0
44.5,706.53441,3.70859,17.66336,0,0,0.59443,0
44.6,707.63389,3.71641,17.69085,0,0,0.59555,0
44.7,708.67846,3.72562,17.71696,0,0,0.59674,0
